,Name,Author,Category,Language
O-1,Termiziy allomalardan oltin o'gitlar,Bahriddin Parpiyev,oltin o'gitlar,o'zbek
O-2,Termiziy allomalardan oltin o'gitlar,Bahriddin Parpiyev,oltin o'gitlar,o'zbek
O-3,Masnaviydan yoshlarga ibratlar va xikmatlar,Jaloliddin Rumiy,oltin o'gitlar,o'zbek
O-4,Masnaviydan yoshlarga ibratlar va xikmatlar,Jaloliddin Rumiy,oltin o'gitlar,o'zbek
O-5,Mavlonodan qalbga malxam xikmatlar,Jaloliddin Rumiy,oltin o'gitlar,o'zbek
O-6,Mavlonodan qalbga malxam xikmatlar,Jaloliddin Rumiy,oltin o'gitlar,o'zbek
O-7,Xikmatlar,Jaloliddin Rumiy,oltin o'gitlar,o'zbek
O-8,Xikmatlar,Jaloliddin Rumiy,oltin o'gitlar,o'zbek
O-9,Hazrati Muhammad o'gitlari,Lev Tolstoy,oltin o'gitlar,o'zbek
O-10,Hazrati Muhammad o'gitlari,Lev Tolstoy,oltin o'gitlar,o'zbek
O-11,Saylanma,Plutarx,oltin o'gitlar,o'zbek
O-12,Saylanma,Plutarx,oltin o'gitlar,o'zbek
O-13,Sariq ajdar o'gitlari,Xitoy masallari,oltin o'gitlar,o'zbek
O-14,Sariq ajdar o'gitlari,Xitoy masallari,oltin o'gitlar,o'zbek
O-15,Jahon xalq maqollari,Davronbek Tojialiyev,oltin o'gitlar,o'zbek
O-16,Jahon xalq maqollari,Davronbek Tojialiyev,oltin o'gitlar,o'zbek
O-17,Hayotnoma 1-kitob,"H.Hamidov, M.Ahmedov",oltin o'gitlar,o'zbek
O-18,Hayotnoma 2-kitob,"H.Hamidov, M.Ahmedov",oltin o'gitlar,o'zbek
O-19,101 Hadis,Anvar Ahmad,oltin o'gitlar,o'zbek
