ID,Name,Author,Category,language
JA-1,Al-Karnaku kemasidagi qotillik,Agata Kristi,jahon adabiyoti,o'zbek
JA-2,Al-Karnaku kemasidagi qotillik,Agata Kristi,jahon adabiyoti,o'zbek
JA-3,Tilsimli shaxmat,Agata Kristi,jahon adabiyoti,o'zbek
JA-4,Tilsimli shaxmat,Agata Kristi,jahon adabiyoti,o'zbek
JA-5,Ular o‘nta edi,Agata Kristi,jahon adabiyoti,o'zbek
JA-6,Ular o‘nta edi,Agata Kristi,jahon adabiyoti,o'zbek
JA-7,Katta to‘rtlik,Agata Kristi,jahon adabiyoti,o'zbek
JA-8,Katta to‘rtlik,Agata Kristi,jahon adabiyoti,o'zbek
JA-9,Rojer Ekroydning sirli qotili,Agata Kristi,jahon adabiyoti,o'zbek
JA-10,Rojer Ekroydning sirli qotili,Agata Kristi,jahon adabiyoti,o'zbek
JA-11,Endxauz jumbog‘i,Agata Kristi,jahon adabiyoti,o'zbek
JA-12,Endxauz jumbog‘i,Agata Kristi,jahon adabiyoti,o'zbek
JA-13,Alifbo bo‘yicha qotillik,Agata Kristi,jahon adabiyoti,o'zbek
JA-14,Alifbo bo‘yicha qotillik,Agata Kristi,jahon adabiyoti,o'zbek
JA-15,Quyosh ostidagi yovuzlik,Agata Kristi,jahon adabiyoti,o'zbek
JA-16,Quyosh ostidagi yovuzlik,Agata Kristi,jahon adabiyoti,o'zbek
JA-17,Kutubxonadagi murda,Agata Kristi,jahon adabiyoti,o'zbek
JA-18,Kutubxonadagi murda,Agata Kristi,jahon adabiyoti,o'zbek
JA-19,Qiyshiq uy,Agata Kristi,jahon adabiyoti,o'zbek
JA-20,Qiyshiq uy,Agata Kristi,jahon adabiyoti,o'zbek
JA-21,Javdar to‘la cho‘ntak,Agata Kristi,jahon adabiyoti,o'zbek
JA-22,Javdar to‘la cho‘ntak,Agata Kristi,jahon adabiyoti,o'zbek
JA-23,Uchinchi qiz,Agata Kristi,jahon adabiyoti,o'zbek
JA-24,Uchinchi qiz,Agata Kristi,jahon adabiyoti,o'zbek
JA-25,Raqqosaning marjoni,Agata Kristi,jahon adabiyoti,o'zbek
JA-26,Raqqosaning marjoni,Agata Kristi,jahon adabiyoti,o'zbek
JA-27,"Begona, Vabo",Alber Kamyu,jahon adabiyoti,o'zbek
JA-28,"Begona, Vabo",Alber Kamyu,jahon adabiyoti,o'zbek
JA-29,Rimlik Ayol,Alberto Morava,jahon adabiyoti,o'zbek
JA-30,Rimlik Ayol,Alberto Morava,jahon adabiyoti,o'zbek
JA-31,Jallod changalidagi oshiqlar,Alekandr Dyumaning,jahon adabiyoti,o'zbek
JA-32,Jallod changalidagi oshiqlar,Alekandr Dyumaning,jahon adabiyoti,o'zbek
JA-33,Professor Douellning boshi,Aleksandr Belyayev,jahon adabiyoti,o'zbek
JA-34,Professor Douellning boshi,Aleksandr Belyayev,jahon adabiyoti,o'zbek
JA-35,Graf Monte-Kristo 1,Aleksandr Dyuma,jahon adabiyoti,o'zbek
JA-36,Graf Monte-Kristo 1,Aleksandr Dyuma,jahon adabiyoti,o'zbek
JA-37,Graf Monte-Kristo 2,Aleksandr Dyuma,jahon adabiyoti,o'zbek
JA-38,Graf Monte-Kristo 2,Aleksandr Dyuma,jahon adabiyoti,o'zbek
JA-39,Ikki Diana,Aleksandr Dyuma,jahon adabiyoti,o'zbek
JA-40,Ikki Diana,Aleksandr Dyuma,jahon adabiyoti,o'zbek
JA-41,Alvon yelkanlar,Aleksandr Grin,jahon adabiyoti,o'zbek
JA-42,Alvon yelkanlar,Aleksandr Grin,jahon adabiyoti,o'zbek
JA-43,Lo‘li,Amina Shenliko‘g‘li,jahon adabiyoti,o'zbek
JA-44,Lo‘li,Amina Shenliko‘g‘li,jahon adabiyoti,o'zbek
JA-45,Xandaq,Andrey Platonov,jahon adabiyoti,o'zbek
JA-46,Xandaq,Andrey Platonov,jahon adabiyoti,o'zbek
JA-47,Jon,Andrey Platonov,jahon adabiyoti,o'zbek
JA-48,Jon,Andrey Platonov,jahon adabiyoti,o'zbek
JA-49,Xotiralar,Anna Dostoyevskaya,jahon adabiyoti,o'zbek
JA-50,Xotiralar,Anna Dostoyevskaya,jahon adabiyoti,o'zbek
JA-51,Kuchuk yetaklagan xonim,Anton Chexov,jahon adabiyoti,o'zbek
JA-52,Kuchuk yetaklagan xonim,Anton Chexov,jahon adabiyoti,o'zbek
JA-53,Semiz va oriq,Anton Chexov,jahon adabiyoti,o'zbek
JA-54,Semiz va oriq,Anton Chexov,jahon adabiyoti,o'zbek
JA-55,Kichkina shahzoda,Antuan de Sent-Ekzyuperi,jahon adabiyoti,o'zbek
