ID,Name,Author,Category,Language
E-1,Vinni Pux va uning sarguzashtlari,Alan Aleksandr Miln,ertakalr olami,o'zbek
E-2,Vinni Pux va uning sarguzashtlari,Alan Aleksandr Miln,ertakalr olami,o'zbek
E-3,Shum bola,G'afur G'ulom,ertakalr olami,o'zbek
E-4,Shum bola,G'afur G'ulom,ertakalr olami,o'zbek
E-5,Kalila va Dimna,Hind xalq eposi,ertakalr olami,o'zbek
E-6,Kalila va Dimna,Hind xalq eposi,ertakalr olami,o'zbek
E-7,"Bo'ri bilan qo'zichoq, Masallar",Jan Lafonten,ertakalr olami,o'zbek
E-8,"Bo'ri bilan qo'zichoq, Masallar",Jan Lafonten,ertakalr olami,o'zbek
E-9,Gulliverning sayohatlari,Jonatan Svift,ertakalr olami,o'zbek
E-10,Gulliverning sayohatlari,Jonatan Svift,ertakalr olami,o'zbek
E-11,Ulug‘bek Yulduzlar saltanatida,Otabek Quvvat,ertakalr olami,o'zbek
E-12,Ulug‘bek Yulduzlar saltanatida,Otabek Quvvat,ertakalr olami,o'zbek
E-13,Sehrgarning qizi,Sergey Suxinov,ertakalr olami,o'zbek
E-14,Sehrgarning qizi,Sergey Suxinov,ertakalr olami,o'zbek
E-15,Zumrad shahar parisi,Sergey Suxinov,ertakalr olami,o'zbek
E-16,Zumrad shahar parisi,Sergey Suxinov,ertakalr olami,o'zbek
E-17,Tagob qishloq ertaklari,Xudoyberdi To'xtaboyev,ertakalr olami,o'zbek
E-18,Yapon xalq ertaklari. Issumbosi,Umida Sodiq qizi,ertakalr olami,o'zbek
